hostName,displayName,ipsState,ipsStatus,ipsRulesCount,ipsRulesID,ipsRulesName,ipsRulesSeverity,ipsRulesCVE
WIN-0UKV8IM1ALA,,prevent,active,364,1622,Windows Live MSN ActiveX Remote Code Execution,medium,
,,,,,2013,Identified Diginotar Certificate,critical,
,,,,,2285,Identified Fraudulent Digital Certificate,critical,
,,,,,3441,Identified Usage Of TLS/SSL EXPORT Cipher Suite In Response (ATT&CK T1032),medium,CVE-2015-0138,CVE-2015-1637,CVE-2015-4000,CVE-2015-0204
,,,,,3600,Identified SSL/TLS Diffie-Hellman Key Exchange Using Weak Parameters Client (ATT&CK T1032),medium,CVE-2015-1716,CVE-2015-4000
,,,,,3812,Identified Suspicious User Agent In Outgoing HTTP Request,medium,
,,,,,4167,Identified Revoked Certificate Authority In SSL Traffic (ATT&CK T1032),critical,
,,,,,4282,HTTP Web Client Decoding,critical,
,,,,,4432,Identified Fraudulent Digital Certificate - 1,critical,
,,,,,5234,Microsoft Malware Protection Engine Remote Code Execution Vulnerability (CVE-2017-0290),critical,CVE-2017-0290
,,,,,5363,Microsoft MsMpEng Use After Free Vulnerability (CVE-2017-8540),critical,CVE-2017-8540
,,,,,5364,Microsoft MsMpEng Use After Free Vulnerability (CVE-2017-8541),critical,CVE-2017-8541
,,,,,5400,Identified Possible Ransomware File Extension Rename Activity Over Network Share,critical,
,,,,,5403,Identified Possible Ransomware File Extension Rename Activity Over Network Share - Client,critical,
,,,,,5543,Microsoft Internet Explorer And Edge Memory Corruption Vulnerability (CVE-2017-11894),high,CVE-2017-11894
,,,,,5545,Microsoft Internet Explorer And Edge Memory Corruption Vulnerability (CVE-2017-11895),high,CVE-2017-11895
,,,,,5548,Microsoft Internet Explorer And Edge Memory Corruption Vulnerability (CVE-2017-11930),high,CVE-2017-11930
,,,,,5549,Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability (CVE-2017-11903),high,CVE-2017-11903
,,,,,5550,Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability (CVE-2017-11901),high,CVE-2017-11901
,,,,,5553,Microsoft Malware Protection Engine Remote Code Execution Vulnerability (CVE-2017-11937),critical,CVE-2017-11937
,,,,,5554,Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability (CVE-2017-11913),high,CVE-2017-11913
,,,,,5557,Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability (CVE-2017-11886),high,CVE-2017-11886
,,,,,5558,Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability (CVE-2017-11907),high,CVE-2017-11907
,,,,,5559,Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability (CVE-2017-11890),high,CVE-2017-11890
,,,,,5563,Microsoft Windows RRAS Service Remote Code Execution Vulnerability (CVE-2017-11885),high,CVE-2017-11885
,,,,,5577,Microsoft Internet Explorer And Edge Scripting Engine Memory Corruption Vulnerability (CVE-2018-0762),high,CVE-2018-0762
,,,,,5657,Microsoft Windows ITS Protocol Information Disclosure Vulnerability (CVE-2017-11927),medium,CVE-2017-11927
,,,,,5756,Microsoft Internet Explorer And Edge Scripting Engine Memory Corruption Vulnerability (CVE-2018-0840),critical,CVE-2018-0840
,,,,,5758,Microsoft Windows Multiple Security Vulnerabilities (Feb-2018),medium,CVE-2018-0842,CVE-2018-0844,CVE-2018-0846,CVE-2018-0742,CVE-2018-0756
