hostName;displayName;ipsState;ipsStatus;ipsRulesCount;ipsRulesID;ipsRulesName;ipsRulesSeverity;ipsRulesCVE
WIN-0UKV8IM1ALA;;prevent;active;364;1622;Windows Live MSN ActiveX Remote Code Execution;medium;
WIN-0UKV8IM1ALA;;prevent;active;364;2013;Identified Diginotar Certificate;critical;
WIN-0UKV8IM1ALA;;prevent;active;364;2285;Identified Fraudulent Digital Certificate;critical;
WIN-0UKV8IM1ALA;;prevent;active;364;3441;Identified Usage Of TLS/SSL EXPORT Cipher Suite In Response (ATT&CK T1032);medium;CVE-2015-0138,CVE-2015-1637,CVE-2015-4000,CVE-2015-0204
WIN-0UKV8IM1ALA;;prevent;active;364;3600;Identified SSL/TLS Diffie-Hellman Key Exchange Using Weak Parameters Client (ATT&CK T1032);medium;CVE-2015-1716,CVE-2015-4000
WIN-0UKV8IM1ALA;;prevent;active;364;3812;Identified Suspicious User Agent In Outgoing HTTP Request;medium;
WIN-0UKV8IM1ALA;;prevent;active;364;4167;Identified Revoked Certificate Authority In SSL Traffic (ATT&CK T1032);critical;
WIN-0UKV8IM1ALA;;prevent;active;364;4282;HTTP Web Client Decoding;critical;
WIN-0UKV8IM1ALA;;prevent;active;364;4432;Identified Fraudulent Digital Certificate - 1;critical;
WIN-0UKV8IM1ALA;;prevent;active;364;5234;Microsoft Malware Protection Engine Remote Code Execution Vulnerability (CVE-2017-0290);critical;CVE-2017-0290
WIN-0UKV8IM1ALA;;prevent;active;364;5363;Microsoft MsMpEng Use After Free Vulnerability (CVE-2017-8540);critical;CVE-2017-8540
WIN-0UKV8IM1ALA;;prevent;active;364;5364;Microsoft MsMpEng Use After Free Vulnerability (CVE-2017-8541);critical;CVE-2017-8541
WIN-0UKV8IM1ALA;;prevent;active;364;5400;Identified Possible Ransomware File Extension Rename Activity Over Network Share;critical;
WIN-0UKV8IM1ALA;;prevent;active;364;5403;Identified Possible Ransomware File Extension Rename Activity Over Network Share - Client;critical;
WIN-0UKV8IM1ALA;;prevent;active;364;5543;Microsoft Internet Explorer And Edge Memory Corruption Vulnerability (CVE-2017-11894);high;CVE-2017-11894
WIN-0UKV8IM1ALA;;prevent;active;364;5545;Microsoft Internet Explorer And Edge Memory Corruption Vulnerability (CVE-2017-11895);high;CVE-2017-11895
WIN-0UKV8IM1ALA;;prevent;active;364;5548;Microsoft Internet Explorer And Edge Memory Corruption Vulnerability (CVE-2017-11930);high;CVE-2017-11930
WIN-0UKV8IM1ALA;;prevent;active;364;5549;Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability (CVE-2017-11903);high;CVE-2017-11903
WIN-0UKV8IM1ALA;;prevent;active;364;5550;Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability (CVE-2017-11901);high;CVE-2017-11901
WIN-0UKV8IM1ALA;;prevent;active;364;5553;Microsoft Malware Protection Engine Remote Code Execution Vulnerability (CVE-2017-11937);critical;CVE-2017-11937
WIN-0UKV8IM1ALA;;prevent;active;364;5554;Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability (CVE-2017-11913);high;CVE-2017-11913
WIN-0UKV8IM1ALA;;prevent;active;364;5557;Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability (CVE-2017-11886);high;CVE-2017-11886
WIN-0UKV8IM1ALA;;prevent;active;364;5558;Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability (CVE-2017-11907);high;CVE-2017-11907
WIN-0UKV8IM1ALA;;prevent;active;364;5559;Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability (CVE-2017-11890);high;CVE-2017-11890
WIN-0UKV8IM1ALA;;prevent;active;364;5563;Microsoft Windows RRAS Service Remote Code Execution Vulnerability (CVE-2017-11885);high;CVE-2017-11885
WIN-0UKV8IM1ALA;;prevent;active;364;5577;Microsoft Internet Explorer And Edge Scripting Engine Memory Corruption Vulnerability (CVE-2018-0762);high;CVE-2018-0762
WIN-0UKV8IM1ALA;;prevent;active;364;5657;Microsoft Windows ITS Protocol Information Disclosure Vulnerability (CVE-2017-11927);medium;CVE-2017-11927
WIN-0UKV8IM1ALA;;prevent;active;364;5756;Microsoft Internet Explorer And Edge Scripting Engine Memory Corruption Vulnerability (CVE-2018-0840);critical;CVE-2018-0840
WIN-0UKV8IM1ALA;;prevent;active;364;5758;Microsoft Windows Multiple Security Vulnerabilities (Feb-2018);medium;CVE-2018-0842,CVE-2018-0844,CVE-2018-0846,CVE-2018-0742,CVE-2018-0756
WIN-0UKV8IM1ALA;;prevent;active;364;5762;Detected SSLv3 Response (ATT&CK T1032);medium;CVE-2014-3568,CVE-2014-3566
WIN-0UKV8IM1ALA;;prevent;active;364;5772;Microsoft Internet Explorer Scripting Engine Information Disclosure Vulnerability (CVE-2017-11887);low;CVE-2017-11887
WIN-0UKV8IM1ALA;;prevent;active;364;5781;Microsoft Internet Explorer And Edge Scripting Engine Memory Corruption Vulnerability (CVE-2018-0772);high;CVE-2018-0772
WIN-0UKV8IM1ALA;;prevent;active;364;5783;Microsoft Windows Multiple Elevation Of Privilege Vulnerabilities (March-2018);high;CVE-2018-0817,CVE-2018-0877,CVE-2018-0882
WIN-0UKV8IM1ALA;;prevent;active;364;5800;Microsoft Internet Explorer Memory Corruption Vulnerability (CVE-2018-0866);critical;CVE-2018-0866
WIN-0UKV8IM1ALA;;prevent;active;364;5832;Microsoft Internet Explorer Scripting Engine Information Disclosure Vulnerability (CVE-2017-11906);low;CVE-2017-11906
WIN-0UKV8IM1ALA;;prevent;active;364;5857;Microsoft Internet Explorer Memory Corruption Vulnerability (CVE-2018-0870);high;CVE-2018-0870
WIN-0UKV8IM1ALA;;prevent;active;364;5860;Microsoft Internet Explorer Memory Corruption Vulnerability (CVE-2018-0991);high;CVE-2018-0991
WIN-0UKV8IM1ALA;;prevent;active;364;5866;Microsoft Internet Explorer Memory Corruption Vulnerability (CVE-2018-0997);high;CVE-2018-0997
